random_seed,training_ratio,epochs,batch_size,N,scaling,sae_hidden_layers,SAE_ACTIVATION,SAE_BIAS,SAE_OPTIMIZER,SAE_LOSS,classifier_hidden_layers,CLASSIFIER_ACTIVATION,CLASSIFIER_BIAS,CLASSIFIER_OPTIMIZER,CLASSIFIER_LOSS,dropout,acc_bld,acc_flr,acc_bf,loc_failure,mean_pos_err,mean_pos_err_weighted
0,0.9,20,10,8,0.2,"[512, 128, 64, 128]",relu,FALSE,adam,mse,"[64, 128]",relu,FALSE,adam,binary_crossentropy,0.2,0.99819982,0.922592259,0.922592259,0.00097561,10.41753823,10.12383849
0,0.9,20,10,8,0.2,"[512, 128, 64, 256]",relu,FALSE,adam,mse,"[64, 128]",relu,FALSE,adam,binary_crossentropy,0.2,1,0.908190819,0.908190819,0,11.04203455,10.74213647
0,0.9,20,10,8,0.2,"[512, 128, 64, 512]",relu,FALSE,adam,mse,"[64, 128]",relu,FALSE,adam,binary_crossentropy,0.2,0.99819982,0.897389739,0.896489649,0,9.907255457,9.73976342
0,0.9,20,10,8,0.2,"[512, 128, 128, 64]",relu,FALSE,adam,mse,"[64, 128]",relu,FALSE,adam,binary_crossentropy,0.2,0.99369937,0.926192619,0.919891989,0,10.43201516,10.10280764
0,0.9,20,10,8,0.2,"[512, 128, 128, 128]",relu,FALSE,adam,mse,"[64, 128]",relu,FALSE,adam,binary_crossentropy,0.2,0.99909991,0.918991899,0.918991899,0.000979432,10.44252154,10.15106553
0,0.9,20,10,8,0.2,"[512, 128, 128, 256]",relu,FALSE,adam,mse,"[64, 128]",relu,FALSE,adam,binary_crossentropy,0.2,0.99909991,0.910891089,0.909990999,0,9.908490172,9.577859544
0,0.9,20,10,8,0.2,"[512, 128, 128, 512]",relu,FALSE,adam,mse,"[64, 128]",relu,FALSE,adam,binary_crossentropy,0.2,1,0.906390639,0.906390639,0,10.16762342,9.939455243
0,0.9,20,10,8,0.2,"[512, 128, 256, 64]",relu,FALSE,adam,mse,"[64, 128]",relu,FALSE,adam,binary_crossentropy,0.2,0.99819982,0.904590459,0.902790279,0,9.809851472,9.620314938
0,0.9,20,10,8,0.2,"[512, 128, 256, 128]",relu,FALSE,adam,mse,"[64, 128]",relu,FALSE,adam,binary_crossentropy,0.2,0.99729973,0.913591359,0.911791179,0,9.839471274,9.558834521
0,0.9,20,10,8,0.2,"[512, 128, 256, 256]",relu,FALSE,adam,mse,"[64, 128]",relu,FALSE,adam,binary_crossentropy,0.2,0.99459946,0.910891089,0.909090909,0,9.514194045,9.227233447
0,0.9,20,10,8,0.2,"[512, 128, 256, 512]",relu,FALSE,adam,mse,"[64, 128]",relu,FALSE,adam,binary_crossentropy,0.2,0.99459946,0.909090909,0.907290729,0,10.45014879,10.04123749
0,0.9,20,10,8,0.2,"[512, 128, 512, 64]",relu,FALSE,adam,mse,"[64, 128]",relu,FALSE,adam,binary_crossentropy,0.2,0.99729973,0.910891089,0.909090909,0,9.747701511,9.441359001
0,0.9,20,10,8,0.2,"[512, 128, 512, 128]",relu,FALSE,adam,mse,"[64, 128]",relu,FALSE,adam,binary_crossentropy,0.2,0.99369937,0.904590459,0.900090009,0.001,9.570403159,9.269943163
0,0.9,20,10,8,0.2,"[512, 128, 512, 256]",relu,FALSE,adam,mse,"[64, 128]",relu,FALSE,adam,binary_crossentropy,0.2,0.99549955,0.893789379,0.891089109,0,10.53874577,10.21791766
0,0.9,20,10,8,0.2,"[512, 128, 512, 512]",relu,FALSE,adam,mse,"[64, 128]",relu,FALSE,adam,binary_crossentropy,0.2,0.98649865,0.903690369,0.896489649,0,9.170839134,8.868345691
0,0.9,20,10,8,0.2,"[512, 256, 64, 64]",relu,FALSE,adam,mse,"[64, 128]",relu,FALSE,adam,binary_crossentropy,0.2,0.99819982,0.919891989,0.918091809,0,9.760071403,9.493585003
0,0.9,20,10,8,0.2,"[512, 256, 64, 128]",relu,FALSE,adam,mse,"[64, 128]",relu,FALSE,adam,binary_crossentropy,0.2,0.99909991,0.924392439,0.923492349,0,9.858717371,9.591203263
0,0.9,20,10,8,0.2,"[512, 256, 64, 256]",relu,FALSE,adam,mse,"[64, 128]",relu,FALSE,adam,binary_crossentropy,0.2,0.99909991,0.913591359,0.912691269,0,9.832587072,9.570032499
0,0.9,20,10,8,0.2,"[512, 256, 64, 512]",relu,FALSE,adam,mse,"[64, 128]",relu,FALSE,adam,binary_crossentropy,0.2,0.99909991,0.922592259,0.921692169,0,10.17216606,9.926757669
0,0.9,20,10,8,0.2,"[512, 256, 128, 64]",relu,FALSE,adam,mse,"[64, 128]",relu,FALSE,adam,binary_crossentropy,0.2,0.99819982,0.900090009,0.898289829,0.001002004,9.74519077,9.489760425
0,0.9,20,10,8,0.2,"[512, 256, 128, 128]",relu,FALSE,adam,mse,"[64, 128]",relu,FALSE,adam,binary_crossentropy,0.2,0.99729973,0.902790279,0.901890189,0,9.446024658,9.244058531
0,0.9,20,10,8,0.2,"[512, 256, 128, 256]",relu,FALSE,adam,mse,"[64, 128]",relu,FALSE,adam,binary_crossentropy,0.2,0.99909991,0.914491449,0.914491449,0,10.54764597,10.15773933
0,0.9,20,10,8,0.2,"[512, 256, 128, 512]",relu,FALSE,adam,mse,"[64, 128]",relu,FALSE,adam,binary_crossentropy,0.2,0.99729973,0.907290729,0.905490549,0,9.585861352,9.363225503
0,0.9,20,10,8,0.2,"[512, 256, 256, 64]",relu,FALSE,adam,mse,"[64, 128]",relu,FALSE,adam,binary_crossentropy,0.2,0.99819982,0.922592259,0.920792079,0.001955034,10.09399109,9.924139989
0,0.9,20,10,8,0.2,"[512, 256, 256, 128]",relu,FALSE,adam,mse,"[64, 128]",relu,FALSE,adam,binary_crossentropy,0.2,0.99909991,0.924392439,0.923492349,0,9.750647311,9.465714699
0,0.9,20,10,8,0.2,"[512, 256, 256, 256]",relu,FALSE,adam,mse,"[64, 128]",relu,FALSE,adam,binary_crossentropy,0.2,0.99459946,0.907290729,0.905490549,0,10.08873125,9.909722452
0,0.9,20,10,8,0.2,"[512, 256, 256, 512]",relu,FALSE,adam,mse,"[64, 128]",relu,FALSE,adam,binary_crossentropy,0.2,0.99549955,0.901890189,0.899189919,0,9.360696982,9.170107349
0,0.9,20,10,8,0.2,"[512, 256, 512, 64]",relu,FALSE,adam,mse,"[64, 128]",relu,FALSE,adam,binary_crossentropy,0.2,0.99639964,0.908190819,0.906390639,0,9.811307362,9.428834975
